cm	fotos	estojo	personnalite	laminas	base	final
20	20	0	0	10	R$ 600,00	R$ 600,00
20	21	0	0	11	R$ 630,00	R$ 630,00
20	22	0	0	11	R$ 660,00	R$ 660,00
20	23	0	0	12	R$ 690,00	R$ 690,00
20	24	0	0	12	R$ 720,00	R$ 720,00
20	25	0	0	13	R$ 750,00	R$ 750,00
20	26	0	0	13	R$ 780,00	R$ 780,00
20	27	0	0	14	R$ 810,00	R$ 810,00
20	28	0	0	14	R$ 840,00	R$ 840,00
20	29	0	0	15	R$ 870,00	R$ 870,00
20	30	0	0	15	R$ 900,00	R$ 900,00
20	31	0	0	16	R$ 930,00	R$ 883,50
20	32	0	0	16	R$ 960,00	R$ 912,00
20	33	0	0	17	R$ 990,00	R$ 940,50
20	34	0	0	17	R$ 1.020,00	R$ 969,00
20	35	0	0	18	R$ 1.050,00	R$ 997,50
20	36	0	0	18	R$ 1.080,00	R$ 1.026,00
20	37	0	0	19	R$ 1.110,00	R$ 1.054,50
20	38	0	0	19	R$ 1.140,00	R$ 1.083,00
20	39	0	0	20	R$ 1.170,00	R$ 1.111,50
20	40	0	0	20	R$ 1.200,00	R$ 1.140,00
20	41	0	0	21	R$ 1.230,00	R$ 1.107,00
20	42	0	0	21	R$ 1.260,00	R$ 1.134,00
20	43	0	0	22	R$ 1.290,00	R$ 1.161,00
20	44	0	0	22	R$ 1.320,00	R$ 1.188,00
20	45	0	0	23	R$ 1.350,00	R$ 1.215,00
20	46	0	0	23	R$ 1.380,00	R$ 1.242,00
20	47	0	0	24	R$ 1.410,00	R$ 1.269,00
20	48	0	0	24	R$ 1.440,00	R$ 1.296,00
20	49	0	0	25	R$ 1.470,00	R$ 1.323,00
20	50	0	0	25	R$ 1.500,00	R$ 1.350,00
20	51	0	0	26	R$ 1.530,00	R$ 1.300,50
20	52	0	0	26	R$ 1.560,00	R$ 1.326,00
20	53	0	0	27	R$ 1.590,00	R$ 1.351,50
20	54	0	0	27	R$ 1.620,00	R$ 1.377,00
20	55	0	0	28	R$ 1.650,00	R$ 1.402,50
20	56	0	0	28	R$ 1.680,00	R$ 1.428,00
20	57	0	0	29	R$ 1.710,00	R$ 1.453,50
20	58	0	0	29	R$ 1.740,00	R$ 1.479,00
20	59	0	0	30	R$ 1.770,00	R$ 1.504,50
20	60	0	0	30	R$ 1.800,00	R$ 1.530,00
20	61	0	0	31	R$ 1.830,00	R$ 1.464,00
20	62	0	0	31	R$ 1.860,00	R$ 1.488,00
20	63	0	0	32	R$ 1.890,00	R$ 1.512,00
20	64	0	0	32	R$ 1.920,00	R$ 1.536,00
20	65	0	0	33	R$ 1.950,00	R$ 1.560,00
20	66	0	0	33	R$ 1.980,00	R$ 1.584,00
20	67	0	0	34	R$ 2.010,00	R$ 1.608,00
20	68	0	0	34	R$ 2.040,00	R$ 1.632,00
20	69	0	0	35	R$ 2.070,00	R$ 1.656,00
20	70	0	0	35	R$ 2.100,00	R$ 1.680,00
20	71	0	0	36	R$ 2.130,00	R$ 1.704,00
20	72	0	0	36	R$ 2.160,00	R$ 1.728,00
20	73	0	0	37	R$ 2.190,00	R$ 1.752,00
20	74	0	0	37	R$ 2.220,00	R$ 1.776,00
20	75	0	0	38	R$ 2.250,00	R$ 1.800,00
20	76	0	0	38	R$ 2.280,00	R$ 1.824,00
20	77	0	0	39	R$ 2.310,00	R$ 1.848,00
20	78	0	0	39	R$ 2.340,00	R$ 1.872,00
20	79	0	0	40	R$ 2.370,00	R$ 1.896,00
20	80	0	0	40	R$ 2.400,00	R$ 1.920,00
20	81	0	0	41	R$ 2.430,00	R$ 1.944,00
20	82	0	0	41	R$ 2.460,00	R$ 1.968,00
20	83	0	0	42	R$ 2.490,00	R$ 1.992,00
20	84	0	0	42	R$ 2.520,00	R$ 2.016,00
20	85	0	0	43	R$ 2.550,00	R$ 2.040,00
20	86	0	0	43	R$ 2.580,00	R$ 2.064,00
20	87	0	0	44	R$ 2.610,00	R$ 2.088,00
20	88	0	0	44	R$ 2.640,00	R$ 2.112,00
20	89	0	0	45	R$ 2.670,00	R$ 2.136,00
20	90	0	0	45	R$ 2.700,00	R$ 2.160,00
20	20	1	0	10	R$ 600,00	R$ 1.100,00
20	21	1	0	11	R$ 630,00	R$ 1.130,00
20	22	1	0	11	R$ 660,00	R$ 1.160,00
20	23	1	0	12	R$ 690,00	R$ 1.190,00
20	24	1	0	12	R$ 720,00	R$ 1.220,00
20	25	1	0	13	R$ 750,00	R$ 1.250,00
20	26	1	0	13	R$ 780,00	R$ 1.280,00
20	27	1	0	14	R$ 810,00	R$ 1.310,00
20	28	1	0	14	R$ 840,00	R$ 1.340,00
20	29	1	0	15	R$ 870,00	R$ 1.370,00
20	30	1	0	15	R$ 900,00	R$ 1.400,00
20	31	1	0	16	R$ 930,00	R$ 1.383,50
20	32	1	0	16	R$ 960,00	R$ 1.412,00
20	33	1	0	17	R$ 990,00	R$ 1.440,50
20	34	1	0	17	R$ 1.020,00	R$ 1.469,00
20	35	1	0	18	R$ 1.050,00	R$ 1.497,50
20	36	1	0	18	R$ 1.080,00	R$ 1.526,00
20	37	1	0	19	R$ 1.110,00	R$ 1.554,50
20	38	1	0	19	R$ 1.140,00	R$ 1.583,00
20	39	1	0	20	R$ 1.170,00	R$ 1.611,50
20	40	1	0	20	R$ 1.200,00	R$ 1.640,00
20	41	1	0	21	R$ 1.230,00	R$ 1.607,00
20	42	1	0	21	R$ 1.260,00	R$ 1.634,00
20	43	1	0	22	R$ 1.290,00	R$ 1.661,00
20	44	1	0	22	R$ 1.320,00	R$ 1.688,00
20	45	1	0	23	R$ 1.350,00	R$ 1.715,00
20	46	1	0	23	R$ 1.380,00	R$ 1.742,00
20	47	1	0	24	R$ 1.410,00	R$ 1.769,00
20	48	1	0	24	R$ 1.440,00	R$ 1.796,00
20	49	1	0	25	R$ 1.470,00	R$ 1.823,00
20	50	1	0	25	R$ 1.500,00	R$ 1.850,00
20	51	1	0	26	R$ 1.530,00	R$ 1.800,50
20	52	1	0	26	R$ 1.560,00	R$ 1.826,00
20	53	1	0	27	R$ 1.590,00	R$ 1.851,50
20	54	1	0	27	R$ 1.620,00	R$ 1.877,00
20	55	1	0	28	R$ 1.650,00	R$ 1.902,50
